--------- beginning of main
01-01 00:00:16.280     0   246 I lowmemorykiller: Using in-kernel low memory killer interface
01-01 00:00:00.909   244   244 W auditd  : type=2000 audit(0.0:1): initialized
01-01 00:00:12.039   244   244 I auditd  : type=1403 audit(0.0:2): policy loaded auid=4294967295 ses=4294967295
01-01 00:00:16.000   338   338 E QC-time-services: Daemon:genoff_boot_tod_init: Unable to set TOD at boot up
01-01 00:00:16.000   338   338 E QC-time-services: Daemon: Unable to set TOD at boot up
01-01 00:00:16.000   338   338 D QC-time-services: Daemon:genoff_modem_qmi_init: Initiallizing QMI 
01-01 00:00:16.000   338   338 E QC-time-services: Daemon:genoff_modem_qmi_init: qmi_client_get_service_list returned -2num_services 0
01-01 00:00:16.000   321   465 I ThermalEngine: ACTION: ADSP - Pending request: cpuv_restriction_cold mitigation succeeded for level 0.
01-01 00:00:16.000   321   465 I ThermalEngine: Mitigation:VDD[ADSP-cpuv_restriction_cold]:0
01-01 00:00:16.008   249   249 D libEGL  : loaded /vendor/lib/egl/libGLESv1_CM_adreno.so
01-01 00:00:16.008   474   474 E wifi_ap.sh: WIFI_AP: Starting AP with ssid: Sentera_21020-02_0066 password: 00660066 and channel: 9 on ip: 192.168.43.1 (root: 192.168.43) 
01-01 00:00:16.015   413   413 V LOWI-6.0.0.15: [LOWIEventDispatcher] LOWIEventDispatcher
01-01 00:00:16.017   321   321 E ThermalEngine: adc_sensors_setup: Error opening /sys/bus/spmi/devices/qpnp-vadc-f004fe00/pa_therm0
01-01 00:00:16.017   321   321 I ThermalEngine: QMI TS sensor found for pa_therm0
01-01 00:00:16.017   321   321 E ThermalEngine: adc_sensors_setup: Error opening /sys/bus/spmi/devices/qpnp-vadc-f004fe00/pa_therm1
01-01 00:00:16.017   321   321 I ThermalEngine: QMI TS sensor found for pa_therm1
01-01 00:00:16.018   249   249 D libEGL  : loaded /vendor/lib/egl/libGLESv2_adreno.so
01-01 00:00:16.020   321   321 E ThermalEngine: bcl_setup: Error opening /sys/devices/qcom,bcl.38/iavail
01-01 00:00:16.020   321   321 E ThermalEngine: add_tgt_sensors_set: Error adding bcl
01-01 00:00:16.020   321   321 E ThermalEngine: sensors_init: Error adding BCL TS
01-01 00:00:16.020   321   321 I ThermalEngine: No target config file, falling back to '/system/etc/thermal-engine.conf'
01-01 00:00:16.020   321   321 I ThermalEngine: Loading config file for virtual sensor
01-01 00:00:16.020   321   321 I ThermalEngine: Loading configuration file /system/etc/thermal-engine.conf
01-01 00:00:16.020   321   321 E ThermalEngine: Unable to open config file '/system/etc/thermal-engine.conf'
01-01 00:00:16.020   321   321 E ThermalEngine: virtual_sensors_init: Error getting virtual sensors set
01-01 00:00:16.020   321   321 I ThermalEngine: Loading configuration file /system/etc/thermal-engine.conf
01-01 00:00:16.020   321   321 E ThermalEngine: Unable to open config file '/system/etc/thermal-engine.conf'
01-01 00:00:16.021   321   321 I ThermalEngine: [PMIC-ALARM-MONITOR]
01-01 00:00:16.021   321   321 I ThermalEngine: #algo_type monitor
01-01 00:00:16.021   321   321 I ThermalEngine: sampling 1000
01-01 00:00:16.021   321   321 I ThermalEngine: sensor pma8084_tz
01-01 00:00:16.021   321   321 I ThermalEngine: thresholds 107000 127000
01-01 00:00:16.021   321   321 I ThermalEngine: thresholds_clr 103000 123000
01-01 00:00:16.021   321   321 I ThermalEngine: actions hotplug_1+hotplug_2+hotplug_3+cpu0+cpu1+cpu2+cpu3 hotplug_1+hotplug_2+hotplug_3
01-01 00:00:16.021   321   321 I ThermalEngine: action_info 0+0+0+960000+960000+960000+960000 1+1+1
01-01 00:00:16.021   321   321 I ThermalEngine: [VDD_RSTR_MONITOR-TSENS10]
01-01 00:00:16.021   321   321 I ThermalEngine: #algo_type monitor
01-01 00:00:16.021   321   321 I ThermalEngine: sampling 1000
01-01 00:00:16.021   321   321 I ThermalEngine: sensor tsens_tz_sensor10
01-01 00:00:16.021   321   321 I ThermalEngine: thresholds 5000
01-01 00:00:16.021   321   321 I ThermalEngine: thresholds_clr 10000
01-01 00:00:16.021   321   321 I ThermalEngine: actions vdd_restriction
